tekst1 | Playfair | abc | YJNPSY
tekst2 | Myszkowski | mil | tsXetXk2X
tekstzaenkripciju | Rail fence | 3 | ttnpueszekicjkari
tekst55 | Myszkowski | tekst | tkt5Xes5XX
danasjesuncandan | Myszkowski | danas | dsunXajndXnecaXasanX
tek | Playfair | st | EJLW
miskovski | Myszkowski | kljuc | msosiikvkX
playfairtekst3 | Playfair | play | LAYBEYKOVCMRUT
tekstabcde | Myszkowski | abcde | tsbeXetcXXkadXX
abcdefghi | Playfair | abc | BCDEAJHIND
sestopcijasest | Rail fence | 2 | ssocjssetpiaet
tekstnovi | Myszkowski | tek | ttienXkoXsvX
abcggggg | Myszkowski | abcg | aggXbggXcgXX
playfairtekst123 | Playfair | playfair | LAYFPYRBPMSXUT
